timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595152720555,5,34 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1595152720562,5,35 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152720568,6,36 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,6,0,0
1595152720575,7,38 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,7,0,0
1595152720583,4,37 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1595152720588,7,39 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,7,0,0
1595152720597,7,40 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,6,0,0
1595152720605,5,41 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152720611,140,43 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,140,0,61
1595152720752,87,42 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,87,0,0
1595152720841,83,44 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,83,0,0
1595152720926,13,45 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,294,381,1,1,http://ocsp.digicert.com/,13,0,7
1595152720940,9,46 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,799,380,1,1,http://ocsp.digicert.com/,8,0,0
1595152720950,19,48 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,799,380,1,1,http://ocsp.digicert.com/,19,0,0
1595152720970,12,47 Login,200,OK,Launch and Login-19-28-2020 152838 1-2,text,true,,799,380,1,1,http://ocsp.digicert.com/,11,0,0
1595152722060,9,25 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,9,0,4
1595152722070,6,27 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,6,0,0
1595152722077,12,26 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,11,0,0
1595152722090,7,28 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,7,0,0
1595152722099,5,30 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1595152722106,5,29 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152722113,406,31 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,2341,371,1,1,http://ocsp.godaddy.com/,406,0,211
1595152722523,101,32 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,2537,381,1,1,http://ocsp.msocsp.com/,101,0,45
1595152722626,4,33 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,4,0,0
1595152722631,8,34 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,8,0,0
1595152722640,4,35 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1595152722646,4,36 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,4,0,0
1595152722651,7,38 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,7,0,0
1595152722659,6,37 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,6,0,0
1595152722666,4,39 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,4,0,0
1595152722671,7,40 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,7,0,0
1595152722679,3,41 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,3,0,0
1595152722684,153,43 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,153,0,68
1595152722838,88,42 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,88,0,0
1595152722928,86,44 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,86,0,0
1595152723017,15,45 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,294,381,1,1,http://ocsp.digicert.com/,15,0,7
1595152723033,10,46 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,799,380,1,1,http://ocsp.digicert.com/,10,0,0
1595152723045,7,48 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,799,380,1,1,http://ocsp.digicert.com/,7,0,0
1595152723053,7,47 Login,200,OK,Launch and Login-19-28-2020 152838 1-3,text,true,,799,380,1,1,http://ocsp.digicert.com/,7,0,0
1595152724098,9,25 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,9,0,4
1595152724107,5,27 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152724112,5,26 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1595152724118,3,28 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,3,0,0
1595152724122,4,30 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1595152724127,5,29 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,5,0,0
1595152724133,335,31 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,2341,371,1,1,http://ocsp.godaddy.com/,335,0,179
1595152724471,99,32 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,2537,381,1,1,http://ocsp.msocsp.com/,98,0,45
1595152724571,5,33 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,5,0,0
1595152724577,5,34 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,5,0,0
1595152724583,7,35 Launchutilidex,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,6,0,0
1595152724591,6,36 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,5,0,0
1595152724597,4,38 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1595152724602,4,37 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,4,0,0
1595152724607,7,39 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,297,1,1,http://detectportal.firefox.com/success.txt,7,0,0
1595152724614,4,40 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv4,4,0,0
1595152724619,6,41 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,384,302,1,1,http://detectportal.firefox.com/success.txt?ipv6,6,0,0
1595152724627,149,43 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,148,0,49
1595152724777,73,42 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,73,0,0
1595152724851,94,44 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,701,386,1,1,http://ocsp.pki.goog/gts1o1core,94,0,0
1595152724948,12,45 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,294,381,1,1,http://ocsp.digicert.com/,12,0,6
1595152724961,10,46 Login,200,OK,Launch and Login-19-28-2020 152838 1-4,text,true,,799,380,1,1,http://ocsp.digicert.com/,10,0,0
